funcid,dim,milestone,error
5,10,1,3.091756e+01
5,10,2,2.397957e+01
5,10,3,2.057050e+01
5,10,5,1.887646e+01
5,10,10,1.771482e+01
5,10,20,1.730012e+01
5,10,30,1.699111e+01
5,10,40,1.690386e+01
5,10,50,1.685114e+01
5,10,60,1.680613e+01
5,10,70,1.680120e+01
5,10,80,1.679784e+01
5,10,90,1.679502e+01
5,10,100,1.679232e+01
5,10,1,5.694058e+01
5,10,2,3.384412e+01
5,10,3,3.382892e+01
5,10,5,3.382847e+01
5,10,10,3.382847e+01
5,10,20,3.382847e+01
5,10,30,3.382847e+01
5,10,40,3.382847e+01
5,10,50,3.382847e+01
5,10,60,3.382847e+01
5,10,70,3.382847e+01
5,10,80,3.382847e+01
5,10,90,3.382847e+01
5,10,100,3.382847e+01
5,10,1,3.991062e+01
5,10,2,3.981031e+01
5,10,3,3.979850e+01
5,10,5,3.979824e+01
5,10,10,3.979824e+01
5,10,20,3.979824e+01
5,10,30,3.979824e+01
5,10,40,3.979824e+01
5,10,50,3.979824e+01
5,10,60,3.979824e+01
5,10,70,3.979824e+01
5,10,80,3.979824e+01
5,10,90,3.979824e+01
5,10,100,3.979824e+01
5,10,1,8.173236e+01
5,10,2,5.090762e+01
5,10,3,5.074367e+01
5,10,5,5.074276e+01
5,10,10,5.074276e+01
5,10,20,2.089410e+01
5,10,30,2.089410e+01
5,10,40,2.089410e+01
5,10,50,2.089410e+01
5,10,60,2.089410e+01
5,10,70,2.089410e+01
5,10,80,2.089410e+01
5,10,90,2.089410e+01
5,10,100,2.089410e+01
5,10,1,5.354932e+01
5,10,2,4.911175e+01
5,10,3,4.670361e+01
5,10,5,4.652214e+01
5,10,10,4.480586e+01
5,10,20,4.215848e+01
5,10,30,4.146876e+01
5,10,40,4.077381e+01
5,10,50,4.001587e+01
5,10,60,3.951246e+01
5,10,70,3.947576e+01
5,10,80,3.921541e+01
5,10,90,3.912513e+01
5,10,100,3.910407e+01
5,10,1,4.996592e+01
5,10,2,4.327304e+01
5,10,3,3.699762e+01
5,10,5,3.681382e+01
5,10,10,3.681334e+01
5,10,20,3.681334e+01
5,10,30,3.681334e+01
5,10,40,3.681334e+01
5,10,50,3.681334e+01
5,10,60,3.681334e+01
5,10,70,3.681334e+01
5,10,80,3.681334e+01
5,10,90,3.681334e+01
5,10,100,3.681334e+01
5,10,1,4.823483e+01
5,10,2,4.780475e+01
5,10,3,4.775839e+01
5,10,5,4.775787e+01
5,10,10,4.775786e+01
5,10,20,4.775786e+01
5,10,30,4.775786e+01
5,10,40,4.775786e+01
5,10,50,4.775786e+01
5,10,60,4.775786e+01
5,10,70,4.775786e+01
5,10,80,4.775786e+01
5,10,90,4.775786e+01
5,10,100,4.775786e+01
5,10,1,7.231575e+01
5,10,2,3.285085e+01
5,10,3,3.283385e+01
5,10,5,3.283357e+01
5,10,10,3.283357e+01
5,10,20,3.283357e+01
5,10,30,3.283357e+01
5,10,40,3.283357e+01
5,10,50,3.283357e+01
5,10,60,3.283357e+01
5,10,70,3.283357e+01
5,10,80,3.283357e+01
5,10,90,3.283357e+01
5,10,100,3.283357e+01
5,10,1,1.018009e+02
5,10,2,1.615148e+01
5,10,3,1.592571e+01
5,10,5,1.591935e+01
5,10,10,1.591933e+01
5,10,20,1.591933e+01
5,10,30,1.591933e+01
5,10,40,1.591933e+01
5,10,50,1.591933e+01
5,10,60,1.591933e+01
5,10,70,1.591933e+01
5,10,80,1.591933e+01
5,10,90,1.591933e+01
5,10,100,1.591933e+01
5,10,1,6.225018e+01
5,10,2,4.361113e+01
5,10,3,4.306341e+01
5,10,5,4.287991e+01
5,10,10,4.244951e+01
5,10,20,4.178074e+01
5,10,30,4.168839e+01
5,10,40,4.151474e+01
5,10,50,4.143528e+01
5,10,60,4.140879e+01
5,10,70,4.140783e+01
5,10,80,4.139989e+01
5,10,90,4.139584e+01
5,10,100,4.139516e+01
