funcid,dim,milestone,error
28,10,1,6.003525e+02
28,10,2,5.992285e+02
28,10,3,5.992285e+02
28,10,5,5.992285e+02
28,10,10,4.410818e+02
28,10,20,4.141198e+02
28,10,30,3.772950e+02
28,10,40,3.749049e+02
28,10,50,3.749049e+02
28,10,60,3.749049e+02
28,10,70,3.733647e+02
28,10,80,3.723143e+02
28,10,90,3.713054e+02
28,10,100,3.704508e+02
28,10,1,6.747766e+02
28,10,2,5.206509e+02
28,10,3,5.206509e+02
28,10,5,5.043230e+02
28,10,10,4.646744e+02
28,10,20,4.372451e+02
28,10,30,4.057113e+02
28,10,40,3.890286e+02
28,10,50,3.847745e+02
28,10,60,3.847745e+02
28,10,70,3.847745e+02
28,10,80,3.809350e+02
28,10,90,3.809350e+02
28,10,100,3.791939e+02
28,10,1,7.396911e+02
28,10,2,5.140564e+02
28,10,3,4.590843e+02
28,10,5,4.590843e+02
28,10,10,4.590843e+02
28,10,20,4.184934e+02
28,10,30,4.053619e+02
28,10,40,4.053619e+02
28,10,50,3.995507e+02
28,10,60,3.717341e+02
28,10,70,3.701686e+02
28,10,80,3.701686e+02
28,10,90,3.701686e+02
28,10,100,3.687533e+02
28,10,1,7.512085e+02
28,10,2,7.045354e+02
28,10,3,7.017854e+02
28,10,5,7.015113e+02
28,10,10,6.273689e+02
28,10,20,6.273689e+02
28,10,30,6.215768e+02
28,10,40,6.171642e+02
28,10,50,6.171642e+02
28,10,60,6.171642e+02
28,10,70,6.168931e+02
28,10,80,6.168931e+02
28,10,90,6.164151e+02
28,10,100,6.164151e+02
28,10,1,6.527087e+02
28,10,2,6.508665e+02
28,10,3,6.293274e+02
28,10,5,6.280421e+02
28,10,10,6.280421e+02
28,10,20,6.265768e+02
28,10,30,6.265768e+02
28,10,40,6.265641e+02
28,10,50,6.254793e+02
28,10,60,6.254793e+02
28,10,70,6.254793e+02
28,10,80,6.208716e+02
28,10,90,6.208716e+02
28,10,100,6.207116e+02
28,10,1,7.660663e+02
28,10,2,7.492160e+02
28,10,3,6.723899e+02
28,10,5,5.993071e+02
28,10,10,5.993071e+02
28,10,20,4.448303e+02
28,10,30,4.197046e+02
28,10,40,4.197046e+02
28,10,50,3.966574e+02
28,10,60,3.921180e+02
28,10,70,3.921180e+02
28,10,80,3.899723e+02
28,10,90,3.848892e+02
28,10,100,3.842266e+02
28,10,1,6.177569e+02
28,10,2,6.177569e+02
28,10,3,5.235436e+02
28,10,5,5.003526e+02
28,10,10,4.592895e+02
28,10,20,4.585760e+02
28,10,30,4.585760e+02
28,10,40,4.552744e+02
28,10,50,4.508388e+02
28,10,60,4.349322e+02
28,10,70,4.155963e+02
28,10,80,3.996038e+02
28,10,90,3.946154e+02
28,10,100,3.912370e+02
28,10,1,6.607295e+02
28,10,2,6.248216e+02
28,10,3,6.248216e+02
28,10,5,4.578775e+02
28,10,10,4.578775e+02
28,10,20,4.083618e+02
28,10,30,3.964804e+02
28,10,40,3.920535e+02
28,10,50,3.858341e+02
28,10,60,3.858341e+02
28,10,70,3.857721e+02
28,10,80,3.792959e+02
28,10,90,3.777463e+02
28,10,100,3.777463e+02
28,10,1,9.550100e+02
28,10,2,9.550100e+02
28,10,3,9.486710e+02
28,10,5,9.437879e+02
28,10,10,9.343164e+02
28,10,20,9.325236e+02
28,10,30,9.324532e+02
28,10,40,9.324532e+02
28,10,50,9.324532e+02
28,10,60,9.318921e+02
28,10,70,9.318921e+02
28,10,80,9.318921e+02
28,10,90,9.318921e+02
28,10,100,9.318921e+02
28,10,1,6.652875e+02
28,10,2,6.526399e+02
28,10,3,6.526399e+02
28,10,5,6.504395e+02
28,10,10,6.303986e+02
28,10,20,6.271756e+02
28,10,30,6.271756e+02
28,10,40,6.261296e+02
28,10,50,6.261296e+02
28,10,60,6.249323e+02
28,10,70,6.172792e+02
28,10,80,6.172792e+02
28,10,90,6.170046e+02
28,10,100,6.166717e+02
