funcid,dim,milestone,error
19,10,1,4.424378e+05
19,10,2,7.388533e+04
19,10,3,7.371809e+04
19,10,5,4.216651e+04
19,10,10,4.024083e+04
19,10,20,2.881159e+04
19,10,30,2.879989e+04
19,10,40,1.257016e+04
19,10,50,5.628292e+03
19,10,60,5.626871e+03
19,10,70,5.626871e+03
19,10,80,7.776848e+02
19,10,90,7.776848e+02
19,10,100,7.776848e+02
19,10,1,2.006969e+06
19,10,2,1.609636e+05
19,10,3,1.591448e+05
19,10,5,3.726094e+04
19,10,10,2.984768e+03
19,10,20,3.571027e+02
19,10,30,3.570782e+02
19,10,40,3.570023e+02
19,10,50,3.570023e+02
19,10,60,3.570023e+02
19,10,70,3.570023e+02
19,10,80,3.569737e+02
19,10,90,3.569534e+02
19,10,100,3.569534e+02
19,10,1,1.557871e+05
19,10,2,1.548382e+05
19,10,3,1.548382e+05
19,10,5,1.548382e+05
19,10,10,1.472329e+05
19,10,20,4.497966e+02
19,10,30,4.497966e+02
19,10,40,4.477943e+02
19,10,50,4.466407e+02
19,10,60,4.466407e+02
19,10,70,4.466407e+02
19,10,80,4.461696e+02
19,10,90,4.461696e+02
19,10,100,4.461696e+02
19,10,1,1.950091e+06
19,10,2,1.966022e+05
19,10,3,1.949852e+05
19,10,5,6.234677e+04
19,10,10,5.180665e+04
19,10,20,3.116693e+04
19,10,30,3.116693e+04
19,10,40,3.101242e+04
19,10,50,3.101075e+04
19,10,60,3.101075e+04
19,10,70,3.101075e+04
19,10,80,3.101075e+04
19,10,90,8.002031e+03
19,10,100,7.975290e+03
19,10,1,1.756028e+05
19,10,2,1.756028e+05
19,10,3,1.756028e+05
19,10,5,9.201569e+04
19,10,10,7.111780e+04
19,10,20,3.870615e+02
19,10,30,3.870615e+02
19,10,40,3.870615e+02
19,10,50,3.870615e+02
19,10,60,3.870615e+02
19,10,70,3.870615e+02
19,10,80,3.869737e+02
19,10,90,3.868335e+02
19,10,100,3.868335e+02
19,10,1,3.686402e+04
19,10,2,3.686402e+04
19,10,3,3.686402e+04
19,10,5,3.686402e+04
19,10,10,3.095167e+04
19,10,20,3.095042e+04
19,10,30,3.095042e+04
19,10,40,4.503908e+03
19,10,50,4.503908e+03
19,10,60,4.503908e+03
19,10,70,4.416627e+02
19,10,80,4.348448e+02
19,10,90,4.342233e+02
19,10,100,4.342233e+02
19,10,1,3.177090e+05
19,10,2,2.362810e+05
19,10,3,2.346276e+05
19,10,5,6.005451e+04
19,10,10,2.803707e+04
19,10,20,2.737729e+04
19,10,30,8.929953e+03
19,10,40,8.929953e+03
19,10,50,5.154865e+03
19,10,60,5.154865e+03
19,10,70,5.154865e+03
19,10,80,5.152836e+03
19,10,90,3.876634e+03
19,10,100,9.108918e+02
19,10,1,6.041572e+04
19,10,2,6.032844e+04
19,10,3,6.032844e+04
19,10,5,6.032844e+04
19,10,10,6.032844e+04
19,10,20,3.333571e+03
19,10,30,3.333571e+03
19,10,40,3.333571e+03
19,10,50,3.332604e+03
19,10,60,3.332604e+03
19,10,70,8.733697e+02
19,10,80,8.733430e+02
19,10,90,8.733430e+02
19,10,100,8.733430e+02
19,10,1,1.124950e+05
19,10,2,1.124950e+05
19,10,3,1.124950e+05
19,10,5,4.484601e+04
19,10,10,1.214656e+04
19,10,20,1.911982e+02
19,10,30,1.911982e+02
19,10,40,1.911982e+02
19,10,50,1.911982e+02
19,10,60,1.911979e+02
19,10,70,1.911979e+02
19,10,80,1.911979e+02
19,10,90,1.911961e+02
19,10,100,1.911961e+02
19,10,1,5.785205e+04
19,10,2,4.296475e+03
19,10,3,4.285059e+03
19,10,5,4.282171e+03
19,10,10,4.269495e+03
19,10,20,4.269495e+03
19,10,30,4.269495e+03
19,10,40,4.269495e+03
19,10,50,2.271428e+03
19,10,60,2.269562e+03
19,10,70,2.264531e+03
19,10,80,2.264531e+03
19,10,90,2.264237e+03
19,10,100,9.792124e+02
