funcid,dim,milestone,error
27,10,1,4.260497e+02
27,10,2,4.250560e+02
27,10,3,4.108626e+02
27,10,5,4.081958e+02
27,10,10,4.033693e+02
27,10,20,4.004103e+02
27,10,30,3.999858e+02
27,10,40,3.999858e+02
27,10,50,3.999858e+02
27,10,60,3.999203e+02
27,10,70,3.999203e+02
27,10,80,3.999203e+02
27,10,90,3.978646e+02
27,10,100,3.978646e+02
27,10,1,4.188093e+02
27,10,2,4.188093e+02
27,10,3,4.003386e+02
27,10,5,3.981240e+02
27,10,10,3.981240e+02
27,10,20,3.981240e+02
27,10,30,3.981240e+02
27,10,40,3.981240e+02
27,10,50,3.981240e+02
27,10,60,3.980003e+02
27,10,70,3.979606e+02
27,10,80,3.979606e+02
27,10,90,3.979606e+02
27,10,100,3.979606e+02
27,10,1,4.023484e+02
27,10,2,4.023447e+02
27,10,3,4.023447e+02
27,10,5,4.023447e+02
27,10,10,4.019031e+02
27,10,20,3.999026e+02
27,10,30,3.988524e+02
27,10,40,3.980200e+02
27,10,50,3.979237e+02
27,10,60,3.979237e+02
27,10,70,3.977411e+02
27,10,80,3.976255e+02
27,10,90,3.975906e+02
27,10,100,3.926222e+02
27,10,1,4.092337e+02
27,10,2,4.092337e+02
27,10,3,4.092337e+02
27,10,5,4.092337e+02
27,10,10,4.092337e+02
27,10,20,4.009163e+02
27,10,30,4.000870e+02
27,10,40,3.989079e+02
27,10,50,3.989079e+02
27,10,60,3.988655e+02
27,10,70,3.988655e+02
27,10,80,3.987713e+02
27,10,90,3.981681e+02
27,10,100,3.968589e+02
27,10,1,4.107686e+02
27,10,2,4.107686e+02
27,10,3,4.054759e+02
27,10,5,4.054759e+02
27,10,10,4.054759e+02
27,10,20,4.025957e+02
27,10,30,4.021233e+02
27,10,40,4.021233e+02
27,10,50,4.014762e+02
27,10,60,3.997971e+02
27,10,70,3.997971e+02
27,10,80,3.988655e+02
27,10,90,3.988655e+02
27,10,100,3.988655e+02
27,10,1,4.188431e+02
27,10,2,4.131880e+02
27,10,3,4.072533e+02
27,10,5,4.071401e+02
27,10,10,4.071401e+02
27,10,20,4.032350e+02
27,10,30,3.986458e+02
27,10,40,3.939909e+02
27,10,50,3.939909e+02
27,10,60,3.939909e+02
27,10,70,3.939113e+02
27,10,80,3.939113e+02
27,10,90,3.939113e+02
27,10,100,3.939113e+02
27,10,1,4.268270e+02
27,10,2,4.061449e+02
27,10,3,4.061446e+02
27,10,5,4.061446e+02
27,10,10,4.051922e+02
27,10,20,4.010150e+02
27,10,30,3.994870e+02
27,10,40,3.994137e+02
27,10,50,3.994047e+02
27,10,60,3.994047e+02
27,10,70,3.994047e+02
27,10,80,3.993868e+02
27,10,90,3.986586e+02
27,10,100,3.976391e+02
27,10,1,4.516960e+02
27,10,2,4.516960e+02
27,10,3,4.142839e+02
27,10,5,4.142839e+02
27,10,10,4.130166e+02
27,10,20,4.005270e+02
27,10,30,4.005270e+02
27,10,40,3.980624e+02
27,10,50,3.980352e+02
27,10,60,3.971891e+02
27,10,70,3.971880e+02
27,10,80,3.969068e+02
27,10,90,3.966270e+02
27,10,100,3.965936e+02
27,10,1,4.143672e+02
27,10,2,4.143672e+02
27,10,3,4.024962e+02
27,10,5,4.024962e+02
27,10,10,3.991442e+02
27,10,20,3.990354e+02
27,10,30,3.989672e+02
27,10,40,3.989672e+02
27,10,50,3.989672e+02
27,10,60,3.986860e+02
27,10,70,3.986860e+02
27,10,80,3.986860e+02
27,10,90,3.982783e+02
27,10,100,3.982783e+02
27,10,1,4.177316e+02
27,10,2,4.177316e+02
27,10,3,4.177316e+02
27,10,5,4.173187e+02
27,10,10,4.098599e+02
27,10,20,4.002128e+02
27,10,30,4.001635e+02
27,10,40,4.001442e+02
27,10,50,3.992366e+02
27,10,60,3.978499e+02
27,10,70,3.978499e+02
27,10,80,3.978499e+02
27,10,90,3.978499e+02
27,10,100,3.975519e+02
