funcid,dim,milestone,error
4,10,1,1.454683e+02
4,10,2,8.378650e+01
4,10,3,8.378650e+01
4,10,5,7.176636e+01
4,10,10,8.171618e+00
4,10,20,6.742168e+00
4,10,30,4.840841e+00
4,10,40,4.840841e+00
4,10,50,4.745887e+00
4,10,60,3.708529e+00
4,10,70,3.708529e+00
4,10,80,3.626386e+00
4,10,90,3.626386e+00
4,10,100,3.626386e+00
4,10,1,7.337380e+01
4,10,2,6.087855e+01
4,10,3,6.087855e+01
4,10,5,2.031130e+01
4,10,10,5.634667e+00
4,10,20,5.634667e+00
4,10,30,5.634667e+00
4,10,40,5.634667e+00
4,10,50,3.271959e+00
4,10,60,3.230783e+00
4,10,70,3.230783e+00
4,10,80,1.340342e+00
4,10,90,1.340342e+00
4,10,100,1.067961e+00
4,10,1,2.318346e+02
4,10,2,1.084809e+01
4,10,3,1.084809e+01
4,10,5,5.894035e+00
4,10,10,5.894035e+00
4,10,20,5.546409e+00
4,10,30,2.852894e+00
4,10,40,2.852894e+00
4,10,50,2.852894e+00
4,10,60,2.852894e+00
4,10,70,2.852894e+00
4,10,80,2.477743e+00
4,10,90,2.310636e+00
4,10,100,2.310636e+00
4,10,1,1.652129e+02
4,10,2,3.000763e+01
4,10,3,1.073607e+01
4,10,5,1.073607e+01
4,10,10,4.311540e+00
4,10,20,3.375651e+00
4,10,30,3.375651e+00
4,10,40,3.375651e+00
4,10,50,3.375651e+00
4,10,60,3.231005e+00
4,10,70,3.231005e+00
4,10,80,3.231005e+00
4,10,90,3.231005e+00
4,10,100,3.157159e+00
4,10,1,3.875535e+01
4,10,2,7.387560e+00
4,10,3,7.387560e+00
4,10,5,2.237651e+00
4,10,10,2.099524e+00
4,10,20,2.091497e+00
4,10,30,2.091497e+00
4,10,40,2.091497e+00
4,10,50,2.091497e+00
4,10,60,2.091497e+00
4,10,70,9.833808e-01
4,10,80,9.833808e-01
4,10,90,9.833808e-01
4,10,100,7.911452e-01
4,10,1,8.149369e+00
4,10,2,6.602031e+00
4,10,3,6.327545e+00
4,10,5,6.238156e+00
4,10,10,6.148482e+00
4,10,20,6.148482e+00
4,10,30,6.024422e+00
4,10,40,6.024422e+00
4,10,50,6.024422e+00
4,10,60,6.024422e+00
4,10,70,6.024422e+00
4,10,80,6.003057e+00
4,10,90,6.003057e+00
4,10,100,5.892160e+00
4,10,1,9.921015e+01
4,10,2,1.491649e+01
4,10,3,4.292627e+00
4,10,5,4.292627e+00
4,10,10,4.292627e+00
4,10,20,4.292627e+00
4,10,30,3.502379e+00
4,10,40,3.415864e+00
4,10,50,3.415864e+00
4,10,60,3.350529e+00
4,10,70,3.350529e+00
4,10,80,1.606810e+00
4,10,90,1.475678e+00
4,10,100,1.475678e+00
4,10,1,5.399861e+01
4,10,2,2.258719e+01
4,10,3,2.258719e+01
4,10,5,6.484506e+00
4,10,10,5.954679e+00
4,10,20,5.016139e+00
4,10,30,5.016139e+00
4,10,40,4.775001e+00
4,10,50,4.775001e+00
4,10,60,4.775001e+00
4,10,70,4.775001e+00
4,10,80,2.535571e+00
4,10,90,2.535571e+00
4,10,100,2.535571e+00
4,10,1,7.650561e+01
4,10,2,7.274124e+00
4,10,3,7.274124e+00
4,10,5,6.851199e+00
4,10,10,6.851199e+00
4,10,20,5.444561e+00
4,10,30,4.607381e+00
4,10,40,4.330533e+00
4,10,50,4.330533e+00
4,10,60,4.208814e+00
4,10,70,4.208814e+00
4,10,80,4.150616e+00
4,10,90,4.150616e+00
4,10,100,4.150616e+00
4,10,1,3.167577e+01
4,10,2,1.968296e+01
4,10,3,1.043719e+01
4,10,5,4.957849e+00
4,10,10,3.310318e+00
4,10,20,3.310318e+00
4,10,30,2.910916e+00
4,10,40,2.657468e+00
4,10,50,2.657468e+00
4,10,60,1.676996e+00
4,10,70,1.676996e+00
4,10,80,1.530865e+00
4,10,90,1.530865e+00
4,10,100,1.530865e+00
