funcid,dim,milestone,error
15,10,1,4.976857e+03
15,10,2,3.663086e+03
15,10,3,3.661697e+03
15,10,5,3.658697e+03
15,10,10,3.612223e+03
15,10,20,3.592545e+03
15,10,30,3.581975e+03
15,10,40,3.551739e+03
15,10,50,1.930674e+03
15,10,60,1.920800e+03
15,10,70,1.903336e+03
15,10,80,1.872146e+03
15,10,90,1.860649e+03
15,10,100,1.806236e+03
15,10,1,1.846980e+05
15,10,2,2.170306e+04
15,10,3,2.151935e+04
15,10,5,2.143853e+04
15,10,10,3.510579e+03
15,10,20,3.045397e+03
15,10,30,3.039398e+03
15,10,40,2.999619e+03
15,10,50,2.989686e+03
15,10,60,2.973382e+03
15,10,70,2.960911e+03
15,10,80,2.954982e+03
15,10,90,2.948105e+03
15,10,100,2.903828e+03
15,10,1,1.791257e+05
15,10,2,1.328754e+04
15,10,3,1.328018e+04
15,10,5,9.067471e+02
15,10,10,9.025706e+02
15,10,20,8.992304e+02
15,10,30,8.858042e+02
15,10,40,6.069426e+02
15,10,50,6.053405e+02
15,10,60,5.277981e+02
15,10,70,5.277107e+02
15,10,80,5.276660e+02
15,10,90,5.275526e+02
15,10,100,5.274791e+02
15,10,1,9.164468e+04
15,10,2,3.496976e+04
15,10,3,3.493514e+04
15,10,5,1.089696e+04
15,10,10,1.071608e+04
15,10,20,5.754686e+03
15,10,30,5.686902e+03
15,10,40,5.619357e+03
15,10,50,5.591585e+03
15,10,60,6.733947e+02
15,10,70,6.673346e+02
15,10,80,6.645503e+02
15,10,90,6.621849e+02
15,10,100,6.529516e+02
15,10,1,1.335185e+04
15,10,2,1.334237e+04
15,10,3,1.318800e+04
15,10,5,1.310632e+04
15,10,10,1.263727e+04
15,10,20,4.037819e+03
15,10,30,4.031632e+03
15,10,40,4.023103e+03
15,10,50,4.018887e+03
15,10,60,4.014025e+03
15,10,70,4.005655e+03
15,10,80,3.998176e+03
15,10,90,3.992708e+03
15,10,100,3.987451e+03
15,10,1,2.708615e+05
15,10,2,3.710574e+04
15,10,3,1.202384e+03
15,10,5,1.202257e+03
15,10,10,1.201453e+03
15,10,20,1.197220e+03
15,10,30,1.195856e+03
15,10,40,1.189945e+03
15,10,50,1.186554e+03
15,10,60,1.177434e+03
15,10,70,1.025222e+03
15,10,80,1.019555e+03
15,10,90,1.017223e+03
15,10,100,1.008842e+03
15,10,1,1.252570e+04
15,10,2,4.874736e+03
15,10,3,4.873255e+03
15,10,5,4.871672e+03
15,10,10,4.866033e+03
15,10,20,4.820976e+03
15,10,30,4.798597e+03
15,10,40,4.770805e+03
15,10,50,4.721991e+03
15,10,60,4.692198e+03
15,10,70,4.670220e+03
15,10,80,4.642553e+03
15,10,90,4.567719e+03
15,10,100,4.548167e+03
15,10,1,9.452711e+04
15,10,2,7.410519e+03
15,10,3,7.405728e+03
15,10,5,7.403518e+03
15,10,10,6.427164e+03
15,10,20,6.172333e+03
15,10,30,2.501329e+03
15,10,40,2.488820e+03
15,10,50,2.474345e+03
15,10,60,1.892643e+03
15,10,70,1.889611e+03
15,10,80,1.886020e+03
15,10,90,1.883791e+03
15,10,100,1.875164e+03
15,10,1,9.831920e+02
15,10,2,9.831348e+02
15,10,3,9.782866e+02
15,10,5,9.777904e+02
15,10,10,9.755844e+02
15,10,20,9.735685e+02
15,10,30,9.718093e+02
15,10,40,9.695194e+02
15,10,50,9.651193e+02
15,10,60,9.643002e+02
15,10,70,9.633808e+02
15,10,80,9.487736e+02
15,10,90,9.478545e+02
15,10,100,9.442716e+02
15,10,1,2.411216e+05
15,10,2,4.633180e+04
15,10,3,4.585918e+04
15,10,5,2.031088e+04
15,10,10,1.833168e+04
15,10,20,1.795874e+04
15,10,30,1.766735e+04
15,10,40,1.710493e+04
15,10,50,1.680090e+04
15,10,60,6.774375e+03
15,10,70,9.943075e+02
15,10,80,9.923990e+02
15,10,90,9.907232e+02
15,10,100,9.882738e+02
