funcid,dim,milestone,error
21,10,1,1.388990e+02
21,10,2,1.298423e+02
21,10,3,1.249884e+02
21,10,5,1.230211e+02
21,10,10,1.178483e+02
21,10,20,1.083220e+02
21,10,30,1.065507e+02
21,10,40,1.047923e+02
21,10,50,1.044010e+02
21,10,60,1.042899e+02
21,10,70,1.042485e+02
21,10,80,1.042073e+02
21,10,90,1.040010e+02
21,10,100,1.035728e+02
21,10,1,2.181799e+02
21,10,2,2.159297e+02
21,10,3,2.154433e+02
21,10,5,1.552957e+02
21,10,10,1.278448e+02
21,10,20,1.110752e+02
21,10,30,1.092878e+02
21,10,40,1.060667e+02
21,10,50,1.051859e+02
21,10,60,1.049114e+02
21,10,70,1.045337e+02
21,10,80,1.037684e+02
21,10,90,1.031970e+02
21,10,100,1.030303e+02
21,10,1,2.360852e+02
21,10,2,2.340022e+02
21,10,3,2.339361e+02
21,10,5,2.339301e+02
21,10,10,2.339300e+02
21,10,20,2.339300e+02
21,10,30,2.339300e+02
21,10,40,2.339300e+02
21,10,50,2.339300e+02
21,10,60,2.339300e+02
21,10,70,2.339300e+02
21,10,80,2.339300e+02
21,10,90,2.339300e+02
21,10,100,2.339300e+02
21,10,1,2.619894e+02
21,10,2,2.619666e+02
21,10,3,2.619641e+02
21,10,5,2.452329e+02
21,10,10,2.444939e+02
21,10,20,2.441411e+02
21,10,30,2.439081e+02
21,10,40,2.437768e+02
21,10,50,2.437528e+02
21,10,60,2.437291e+02
21,10,70,2.437188e+02
21,10,80,2.437018e+02
21,10,90,2.309963e+02
21,10,100,2.309961e+02
21,10,1,2.398229e+02
21,10,2,2.378115e+02
21,10,3,2.373544e+02
21,10,5,2.372870e+02
21,10,10,2.372864e+02
21,10,20,2.372864e+02
21,10,30,2.372864e+02
21,10,40,2.372864e+02
21,10,50,2.372864e+02
21,10,60,2.372864e+02
21,10,70,2.372864e+02
21,10,80,1.305921e+02
21,10,90,1.102193e+02
21,10,100,1.055802e+02
21,10,1,1.262387e+02
21,10,2,1.232450e+02
21,10,3,1.200960e+02
21,10,5,1.135815e+02
21,10,10,1.085087e+02
21,10,20,1.054474e+02
21,10,30,1.049282e+02
21,10,40,1.046299e+02
21,10,50,1.042886e+02
21,10,60,1.038496e+02
21,10,70,1.034890e+02
21,10,80,1.031807e+02
21,10,90,1.030038e+02
21,10,100,1.028999e+02
21,10,1,2.465622e+02
21,10,2,2.464853e+02
21,10,3,2.457496e+02
21,10,5,2.456274e+02
21,10,10,2.453716e+02
21,10,20,2.452550e+02
21,10,30,2.451234e+02
21,10,40,1.127497e+02
21,10,50,1.050765e+02
21,10,60,1.041316e+02
21,10,70,1.029649e+02
21,10,80,1.022134e+02
21,10,90,1.017121e+02
21,10,100,1.011021e+02
21,10,1,2.620212e+02
21,10,2,2.342108e+02
21,10,3,2.340898e+02
21,10,5,2.340887e+02
21,10,10,2.340886e+02
21,10,20,2.340886e+02
21,10,30,2.340886e+02
21,10,40,2.340886e+02
21,10,50,2.340886e+02
21,10,60,2.340886e+02
21,10,70,1.443411e+02
21,10,80,1.069888e+02
21,10,90,1.040413e+02
21,10,100,1.024184e+02
21,10,1,2.900136e+02
21,10,2,2.568263e+02
21,10,3,2.561919e+02
21,10,5,2.559908e+02
21,10,10,2.171022e+02
21,10,20,2.170986e+02
21,10,30,2.170986e+02
21,10,40,2.170986e+02
21,10,50,2.170986e+02
21,10,60,2.170986e+02
21,10,70,2.170986e+02
21,10,80,2.170986e+02
21,10,90,2.170986e+02
21,10,100,2.170986e+02
21,10,1,2.461050e+02
21,10,2,2.435802e+02
21,10,3,2.333921e+02
21,10,5,2.322941e+02
21,10,10,2.312693e+02
21,10,20,2.303080e+02
21,10,30,2.302405e+02
21,10,40,1.188613e+02
21,10,50,1.135453e+02
21,10,60,1.073999e+02
21,10,70,1.056098e+02
21,10,80,1.047158e+02
21,10,90,1.033849e+02
21,10,100,1.022241e+02
