funcid,dim,milestone,error
30,10,1,4.094687e+06
30,10,2,4.094482e+06
30,10,3,3.978157e+06
30,10,5,3.918189e+06
30,10,10,2.843956e+06
30,10,20,2.568601e+06
30,10,30,1.123125e+06
30,10,40,1.115900e+06
30,10,50,1.115403e+06
30,10,60,1.115174e+06
30,10,70,1.113589e+06
30,10,80,1.112853e+06
30,10,90,1.111308e+06
30,10,100,1.110994e+06
30,10,1,3.854733e+06
30,10,2,3.835473e+06
30,10,3,2.194519e+06
30,10,5,1.288288e+06
30,10,10,1.732666e+05
30,10,20,5.550947e+04
30,10,30,4.432882e+04
30,10,40,3.742383e+04
30,10,50,3.200695e+04
30,10,60,2.758070e+04
30,10,70,2.517485e+04
30,10,80,2.371605e+04
30,10,90,2.151308e+04
30,10,100,2.032572e+04
30,10,1,4.327681e+06
30,10,2,3.980792e+06
30,10,3,3.824259e+06
30,10,5,3.602406e+06
30,10,10,1.860188e+06
30,10,20,1.817590e+06
30,10,30,1.504712e+06
30,10,40,9.171965e+05
30,10,50,9.090451e+05
30,10,60,2.787184e+05
30,10,70,1.383142e+04
30,10,80,3.369980e+03
30,10,90,3.339607e+03
30,10,100,3.298789e+03
30,10,1,1.852356e+06
30,10,2,1.448701e+06
30,10,3,1.447805e+06
30,10,5,1.446851e+06
30,10,10,1.446369e+06
30,10,20,1.442815e+06
30,10,30,8.347324e+05
30,10,40,8.084171e+05
30,10,50,7.906805e+05
30,10,60,7.843275e+05
30,10,70,7.703654e+05
30,10,80,7.537915e+05
30,10,90,7.645302e+03
30,10,100,4.840639e+03
30,10,1,3.963532e+06
30,10,2,3.963532e+06
30,10,3,2.926635e+06
30,10,5,2.913823e+06
30,10,10,1.783237e+06
30,10,20,8.568205e+05
30,10,30,8.527478e+05
30,10,40,8.504168e+05
30,10,50,8.485390e+05
30,10,60,6.056039e+05
30,10,70,5.224998e+05
30,10,80,5.076190e+05
30,10,90,5.031969e+05
30,10,100,4.993701e+05
30,10,1,3.175681e+06
30,10,2,3.175681e+06
30,10,3,3.175391e+06
30,10,5,3.169475e+06
30,10,10,2.532672e+06
30,10,20,8.641824e+05
30,10,30,8.625734e+05
30,10,40,8.606783e+05
30,10,50,3.164154e+05
30,10,60,2.924423e+05
30,10,70,2.651452e+05
30,10,80,2.572629e+05
30,10,90,2.486112e+05
30,10,100,1.269360e+04
30,10,1,3.616036e+06
30,10,2,3.118829e+04
30,10,3,2.929273e+04
30,10,5,2.821769e+04
30,10,10,2.549000e+04
30,10,20,2.114678e+04
30,10,30,1.850882e+04
30,10,40,1.654455e+04
30,10,50,1.479382e+04
30,10,60,1.355666e+04
30,10,70,1.259675e+04
30,10,80,1.183985e+04
30,10,90,1.124465e+04
30,10,100,1.057170e+04
30,10,1,3.480973e+06
30,10,2,3.480973e+06
30,10,3,3.479571e+06
30,10,5,3.479169e+06
30,10,10,3.467364e+06
30,10,20,3.464939e+06
30,10,30,3.338175e+06
30,10,40,3.132476e+06
30,10,50,1.948547e+06
30,10,60,1.934915e+06
30,10,70,1.922849e+06
30,10,80,1.751667e+06
30,10,90,1.595725e+06
30,10,100,1.595110e+06
30,10,1,1.372038e+07
30,10,2,5.608705e+06
30,10,3,1.660845e+06
30,10,5,8.826552e+05
30,10,10,8.749159e+05
30,10,20,8.712429e+05
30,10,30,8.691595e+05
30,10,40,2.892826e+05
30,10,50,2.831768e+05
30,10,60,2.819459e+05
30,10,70,2.805851e+05
30,10,80,2.765265e+05
30,10,90,1.423157e+05
30,10,100,1.094903e+05
30,10,1,1.017694e+07
30,10,2,9.412329e+06
30,10,3,1.193546e+06
30,10,5,8.200010e+05
30,10,10,6.279552e+05
30,10,20,3.130895e+05
30,10,30,2.978685e+05
30,10,40,2.869233e+05
30,10,50,2.702033e+05
30,10,60,2.532939e+05
30,10,70,2.389279e+05
30,10,80,1.447234e+05
30,10,90,1.320013e+05
30,10,100,5.093648e+04
