funcid,dim,milestone,error
28,10,1,8.325079e+02
28,10,2,5.011826e+02
28,10,3,4.750762e+02
28,10,5,4.358120e+02
28,10,10,4.164285e+02
28,10,20,3.857145e+02
28,10,30,3.781127e+02
28,10,40,3.724754e+02
28,10,50,3.692174e+02
28,10,60,3.672446e+02
28,10,70,3.663106e+02
28,10,80,3.653589e+02
28,10,90,3.641878e+02
28,10,100,3.597326e+02
28,10,1,9.475746e+02
28,10,2,9.454309e+02
28,10,3,9.330691e+02
28,10,5,9.330691e+02
28,10,10,9.330691e+02
28,10,20,9.321506e+02
28,10,30,9.321506e+02
28,10,40,9.319308e+02
28,10,50,9.319308e+02
28,10,60,9.319308e+02
28,10,70,9.319308e+02
28,10,80,9.319308e+02
28,10,90,9.319308e+02
28,10,100,9.318838e+02
28,10,1,6.991503e+02
28,10,2,6.991503e+02
28,10,3,6.989680e+02
28,10,5,6.502210e+02
28,10,10,6.209169e+02
28,10,20,6.208619e+02
28,10,30,6.179203e+02
28,10,40,6.178809e+02
28,10,50,6.160462e+02
28,10,60,6.160223e+02
28,10,70,6.160109e+02
28,10,80,6.160066e+02
28,10,90,6.159556e+02
28,10,100,6.159501e+02
28,10,1,4.686390e+02
28,10,2,4.356401e+02
28,10,3,4.302731e+02
28,10,5,4.080425e+02
28,10,10,3.861182e+02
28,10,20,3.761509e+02
28,10,30,3.714881e+02
28,10,40,3.684102e+02
28,10,50,3.668426e+02
28,10,60,3.657473e+02
28,10,70,3.649878e+02
28,10,80,3.635868e+02
28,10,90,3.552669e+02
28,10,100,3.000001e+02
28,10,1,4.219565e+02
28,10,2,4.144721e+02
28,10,3,4.077316e+02
28,10,5,4.031029e+02
28,10,10,3.869347e+02
28,10,20,3.759792e+02
28,10,30,3.716487e+02
28,10,40,3.685110e+02
28,10,50,3.670394e+02
28,10,60,3.660111e+02
28,10,70,3.651762e+02
28,10,80,3.641715e+02
28,10,90,3.593504e+02
28,10,100,3.000313e+02
28,10,1,8.036525e+02
28,10,2,7.177092e+02
28,10,3,6.943079e+02
28,10,5,6.620653e+02
28,10,10,6.290330e+02
28,10,20,6.288907e+02
28,10,30,6.287705e+02
28,10,40,6.271354e+02
28,10,50,6.143274e+02
28,10,60,6.142790e+02
28,10,70,6.136774e+02
28,10,80,6.123728e+02
28,10,90,6.123725e+02
28,10,100,6.121241e+02
28,10,1,6.841225e+02
28,10,2,4.567321e+02
28,10,3,4.413747e+02
28,10,5,4.334433e+02
28,10,10,4.238843e+02
28,10,20,3.691382e+02
28,10,30,3.671942e+02
28,10,40,3.660826e+02
28,10,50,3.651821e+02
28,10,60,3.640328e+02
28,10,70,3.608771e+02
28,10,80,3.000530e+02
28,10,90,3.000000e+02
28,10,100,3.000000e+02
28,10,1,6.240426e+02
28,10,2,6.229529e+02
28,10,3,6.154946e+02
28,10,5,6.153694e+02
28,10,10,6.152868e+02
28,10,20,6.148846e+02
28,10,30,6.138542e+02
28,10,40,6.125742e+02
28,10,50,6.124072e+02
28,10,60,6.124011e+02
28,10,70,6.123972e+02
28,10,80,6.123969e+02
28,10,90,6.123947e+02
28,10,100,6.123633e+02
28,10,1,6.476432e+02
28,10,2,6.476432e+02
28,10,3,6.474911e+02
28,10,5,6.254974e+02
28,10,10,6.165823e+02
28,10,20,6.153423e+02
28,10,30,6.147066e+02
28,10,40,6.126068e+02
28,10,50,6.125379e+02
28,10,60,6.125355e+02
28,10,70,6.124141e+02
28,10,80,6.124102e+02
28,10,90,6.124099e+02
28,10,100,6.124098e+02
28,10,1,7.025510e+02
28,10,2,7.025337e+02
28,10,3,6.305723e+02
28,10,5,6.305532e+02
28,10,10,6.299966e+02
28,10,20,6.231013e+02
28,10,30,6.200584e+02
28,10,40,6.132437e+02
28,10,50,6.131893e+02
28,10,60,6.128465e+02
28,10,70,6.128313e+02
28,10,80,6.126251e+02
28,10,90,6.123608e+02
28,10,100,6.122710e+02
