funcid,dim,milestone,error
13,30,1,1.007954e+10
13,30,2,5.425375e+09
13,30,3,5.425375e+09
13,30,5,3.665304e+09
13,30,10,3.568259e+09
13,30,20,3.568259e+09
13,30,30,3.568259e+09
13,30,40,3.150767e+09
13,30,50,2.242670e+09
13,30,60,1.020565e+09
13,30,70,5.556333e+08
13,30,80,3.379405e+08
13,30,90,7.652483e+07
13,30,100,2.330799e+05
13,30,1,1.403015e+10
13,30,2,7.271932e+09
13,30,3,7.271932e+09
13,30,5,7.271932e+09
13,30,10,2.510982e+09
13,30,20,2.510982e+09
13,30,30,2.510982e+09
13,30,40,2.510982e+09
13,30,50,1.980390e+09
13,30,60,1.980390e+09
13,30,70,1.410377e+09
13,30,80,6.741745e+08
13,30,90,6.734187e+07
13,30,100,1.760972e+05
13,30,1,1.263728e+10
13,30,2,1.260726e+10
13,30,3,9.326709e+09
13,30,5,3.782619e+09
13,30,10,3.782619e+09
13,30,20,3.782619e+09
13,30,30,3.782619e+09
13,30,40,3.782619e+09
13,30,50,1.982923e+09
13,30,60,1.197952e+09
13,30,70,8.090256e+08
13,30,80,3.928075e+08
13,30,90,1.003052e+08
13,30,100,8.130027e+04
13,30,1,9.111408e+09
13,30,2,9.111408e+09
13,30,3,8.617778e+09
13,30,5,7.681342e+09
13,30,10,5.112763e+09
13,30,20,3.774283e+09
13,30,30,1.390657e+09
13,30,40,1.390657e+09
13,30,50,1.390657e+09
13,30,60,1.390657e+09
13,30,70,8.080120e+08
13,30,80,2.996574e+08
13,30,90,4.280171e+07
13,30,100,1.330463e+05
13,30,1,4.261077e+09
13,30,2,4.261077e+09
13,30,3,4.261077e+09
13,30,5,4.261077e+09
13,30,10,4.047402e+09
13,30,20,2.282376e+09
13,30,30,2.282376e+09
13,30,40,1.877116e+09
13,30,50,1.714626e+09
13,30,60,1.714626e+09
13,30,70,1.125778e+09
13,30,80,4.360147e+08
13,30,90,9.640375e+07
13,30,100,2.658206e+05
13,30,1,6.842918e+09
13,30,2,6.418250e+09
13,30,3,4.584482e+09
13,30,5,4.584482e+09
13,30,10,3.470831e+09
13,30,20,1.841240e+09
13,30,30,1.841240e+09
13,30,40,1.841240e+09
13,30,50,1.406788e+09
13,30,60,9.922752e+08
13,30,70,9.922752e+08
13,30,80,3.467984e+08
13,30,90,1.344402e+08
13,30,100,1.020224e+05
13,30,1,8.161453e+09
13,30,2,8.161453e+09
13,30,3,8.161453e+09
13,30,5,8.161453e+09
13,30,10,4.475403e+09
13,30,20,2.898449e+09
13,30,30,2.898449e+09
13,30,40,2.898449e+09
13,30,50,1.082771e+09
13,30,60,1.082771e+09
13,30,70,1.082771e+09
13,30,80,7.101144e+08
13,30,90,1.402270e+08
13,30,100,1.398223e+05
13,30,1,5.109766e+09
13,30,2,5.109766e+09
13,30,3,4.274636e+09
13,30,5,4.274636e+09
13,30,10,3.887845e+09
13,30,20,3.887845e+09
13,30,30,2.662050e+09
13,30,40,1.744546e+09
13,30,50,1.744546e+09
13,30,60,1.744546e+09
13,30,70,1.098869e+09
13,30,80,5.476538e+08
13,30,90,1.016188e+08
13,30,100,1.730423e+05
13,30,1,1.106651e+10
13,30,2,5.819250e+09
13,30,3,5.819250e+09
13,30,5,4.938401e+09
13,30,10,4.938401e+09
13,30,20,1.341917e+09
13,30,30,1.341917e+09
13,30,40,1.341917e+09
13,30,50,1.261669e+09
13,30,60,8.023371e+08
13,30,70,8.023371e+08
13,30,80,2.194689e+08
13,30,90,6.487368e+07
13,30,100,1.579022e+05
13,30,1,5.453017e+09
13,30,2,5.453017e+09
13,30,3,5.453017e+09
13,30,5,3.854691e+09
13,30,10,3.854691e+09
13,30,20,1.971259e+09
13,30,30,1.971259e+09
13,30,40,1.971259e+09
13,30,50,8.184875e+08
13,30,60,8.184875e+08
13,30,70,4.740611e+08
13,30,80,4.740611e+08
13,30,90,1.631953e+08
13,30,100,9.548353e+04
