funcid,dim,milestone,error
30,10,1,1.079880e+07
30,10,2,5.487278e+06
30,10,3,3.555381e+06
30,10,5,3.004823e+06
30,10,10,2.015158e+06
30,10,20,1.349705e+06
30,10,30,1.147078e+06
30,10,40,1.147078e+06
30,10,50,7.881343e+05
30,10,60,4.560498e+05
30,10,70,4.406764e+05
30,10,80,1.195402e+05
30,10,90,6.130514e+04
30,10,100,1.894696e+04
30,10,1,5.005652e+06
30,10,2,4.734611e+06
30,10,3,3.470421e+06
30,10,5,3.466681e+06
30,10,10,1.200856e+06
30,10,20,8.824263e+05
30,10,30,5.908797e+05
30,10,40,1.826106e+05
30,10,50,1.826106e+05
30,10,60,1.826106e+05
30,10,70,1.826106e+05
30,10,80,1.826106e+05
30,10,90,8.635257e+04
30,10,100,2.659121e+04
30,10,1,3.970227e+06
30,10,2,3.970227e+06
30,10,3,2.616057e+06
30,10,5,1.554380e+06
30,10,10,1.554380e+06
30,10,20,7.279255e+05
30,10,30,7.247019e+05
30,10,40,7.247019e+05
30,10,50,4.293754e+05
30,10,60,4.293754e+05
30,10,70,2.658086e+05
30,10,80,1.266172e+05
30,10,90,1.266172e+05
30,10,100,9.125365e+03
30,10,1,8.430843e+06
30,10,2,3.541644e+06
30,10,3,3.541644e+06
30,10,5,3.541644e+06
30,10,10,2.165648e+06
30,10,20,2.861020e+05
30,10,30,2.861020e+05
30,10,40,2.861020e+05
30,10,50,2.861020e+05
30,10,60,2.861020e+05
30,10,70,1.847531e+05
30,10,80,8.926436e+04
30,10,90,5.142169e+04
30,10,100,7.363602e+03
30,10,1,4.766985e+06
30,10,2,4.766985e+06
30,10,3,4.250513e+06
30,10,5,3.987282e+06
30,10,10,2.042214e+06
30,10,20,4.678700e+05
30,10,30,4.678700e+05
30,10,40,4.678700e+05
30,10,50,4.678700e+05
30,10,60,4.678700e+05
30,10,70,5.266530e+04
30,10,80,5.266530e+04
30,10,90,4.180528e+04
30,10,100,3.725077e+03
30,10,1,1.297326e+07
30,10,2,5.510369e+06
30,10,3,5.510369e+06
30,10,5,2.822135e+06
30,10,10,1.251869e+06
30,10,20,1.251869e+06
30,10,30,1.251869e+06
30,10,40,1.251869e+06
30,10,50,6.233037e+05
30,10,60,1.795656e+05
30,10,70,1.795656e+05
30,10,80,1.795656e+05
30,10,90,1.285222e+05
30,10,100,4.090208e+04
30,10,1,3.484386e+06
30,10,2,2.582726e+06
30,10,3,1.410569e+06
30,10,5,1.021951e+06
30,10,10,8.828633e+05
30,10,20,3.856971e+05
30,10,30,3.856971e+05
30,10,40,3.856971e+05
30,10,50,3.856971e+05
30,10,60,3.856971e+05
30,10,70,3.576223e+05
30,10,80,2.065259e+05
30,10,90,4.764445e+04
30,10,100,1.131988e+04
30,10,1,8.562823e+06
30,10,2,8.126873e+06
30,10,3,6.809441e+06
30,10,5,3.751472e+06
30,10,10,2.608988e+06
30,10,20,2.258976e+06
30,10,30,2.086569e+06
30,10,40,1.862440e+06
30,10,50,1.544961e+06
30,10,60,1.099634e+06
30,10,70,1.071402e+06
30,10,80,9.224899e+05
30,10,90,9.102854e+05
30,10,100,8.616260e+05
30,10,1,1.015822e+07
30,10,2,4.652009e+06
30,10,3,4.622523e+06
30,10,5,4.319336e+06
30,10,10,2.505599e+06
30,10,20,1.890142e+06
30,10,30,1.674281e+06
30,10,40,1.519775e+06
30,10,50,1.519775e+06
30,10,60,1.179281e+06
30,10,70,9.759010e+05
30,10,80,9.759010e+05
30,10,90,9.514833e+05
30,10,100,8.836989e+05
30,10,1,3.538088e+06
30,10,2,1.003726e+06
30,10,3,8.828633e+05
30,10,5,8.828633e+05
30,10,10,4.845279e+05
30,10,20,4.845279e+05
30,10,30,4.845279e+05
30,10,40,4.845279e+05
30,10,50,3.693414e+05
30,10,60,1.923551e+05
30,10,70,1.923551e+05
30,10,80,6.814402e+04
30,10,90,6.351819e+04
30,10,100,1.728542e+04
