funcid,dim,milestone,error
29,10,1,6.998190e+02
29,10,2,5.367933e+02
29,10,3,5.367933e+02
29,10,5,4.156303e+02
29,10,10,4.156303e+02
29,10,20,3.418485e+02
29,10,30,3.209453e+02
29,10,40,2.853271e+02
29,10,50,2.853271e+02
29,10,60,2.853271e+02
29,10,70,2.853271e+02
29,10,80,2.853271e+02
29,10,90,2.484068e+02
29,10,100,2.402466e+02
29,10,1,4.972984e+02
29,10,2,4.972984e+02
29,10,3,4.972984e+02
29,10,5,4.714414e+02
29,10,10,3.843257e+02
29,10,20,3.099174e+02
29,10,30,2.800182e+02
29,10,40,2.800182e+02
29,10,50,2.800182e+02
29,10,60,2.800182e+02
29,10,70,2.800182e+02
29,10,80,2.800182e+02
29,10,90,2.763978e+02
29,10,100,2.507410e+02
29,10,1,5.534832e+02
29,10,2,3.154274e+02
29,10,3,3.154274e+02
29,10,5,3.154274e+02
29,10,10,3.154274e+02
29,10,20,3.154274e+02
29,10,30,3.154274e+02
29,10,40,3.154274e+02
29,10,50,3.154274e+02
29,10,60,2.868472e+02
29,10,70,2.868472e+02
29,10,80,2.838395e+02
29,10,90,2.700317e+02
29,10,100,2.452965e+02
29,10,1,5.143195e+02
29,10,2,4.917344e+02
29,10,3,4.276138e+02
29,10,5,4.276138e+02
29,10,10,4.276138e+02
29,10,20,4.177299e+02
29,10,30,3.227753e+02
29,10,40,3.227753e+02
29,10,50,3.227753e+02
29,10,60,2.902608e+02
29,10,70,2.788482e+02
29,10,80,2.788482e+02
29,10,90,2.726192e+02
29,10,100,2.458236e+02
29,10,1,8.413001e+02
29,10,2,5.184144e+02
29,10,3,5.184144e+02
29,10,5,4.939022e+02
29,10,10,4.409170e+02
29,10,20,3.252430e+02
29,10,30,3.252430e+02
29,10,40,3.252430e+02
29,10,50,3.252430e+02
29,10,60,2.809947e+02
29,10,70,2.809947e+02
29,10,80,2.809947e+02
29,10,90,2.634599e+02
29,10,100,2.429370e+02
29,10,1,5.874728e+02
29,10,2,5.874728e+02
29,10,3,5.694170e+02
29,10,5,4.871723e+02
29,10,10,3.992549e+02
29,10,20,3.416841e+02
29,10,30,3.211189e+02
29,10,40,3.179822e+02
29,10,50,3.179822e+02
29,10,60,2.764407e+02
29,10,70,2.764407e+02
29,10,80,2.764407e+02
29,10,90,2.764407e+02
29,10,100,2.436789e+02
29,10,1,7.891735e+02
29,10,2,6.319694e+02
29,10,3,5.517398e+02
29,10,5,5.517398e+02
29,10,10,4.266381e+02
29,10,20,4.266381e+02
29,10,30,4.266381e+02
29,10,40,4.217256e+02
29,10,50,3.266806e+02
29,10,60,3.266806e+02
29,10,70,3.266806e+02
29,10,80,3.198385e+02
29,10,90,3.046011e+02
29,10,100,2.444515e+02
29,10,1,6.447134e+02
29,10,2,6.447134e+02
29,10,3,4.965428e+02
29,10,5,4.965428e+02
29,10,10,4.965428e+02
29,10,20,4.656148e+02
29,10,30,2.808523e+02
29,10,40,2.808523e+02
29,10,50,2.808523e+02
29,10,60,2.808523e+02
29,10,70,2.808523e+02
29,10,80,2.769763e+02
29,10,90,2.725834e+02
29,10,100,2.413211e+02
29,10,1,5.352685e+02
29,10,2,3.696479e+02
29,10,3,3.696479e+02
29,10,5,3.696479e+02
29,10,10,3.696479e+02
29,10,20,2.897350e+02
29,10,30,2.897350e+02
29,10,40,2.897350e+02
29,10,50,2.897350e+02
29,10,60,2.897350e+02
29,10,70,2.897350e+02
29,10,80,2.822707e+02
29,10,90,2.606539e+02
29,10,100,2.398400e+02
29,10,1,6.631900e+02
29,10,2,4.213087e+02
29,10,3,4.213087e+02
29,10,5,3.459322e+02
29,10,10,3.459322e+02
29,10,20,3.369644e+02
29,10,30,3.084316e+02
29,10,40,3.084316e+02
29,10,50,3.084316e+02
29,10,60,3.035813e+02
29,10,70,2.849714e+02
29,10,80,2.849714e+02
29,10,90,2.604279e+02
29,10,100,2.383161e+02
