funcid,dim,milestone,error
21,10,1,2.917756e+02
21,10,2,2.782758e+02
21,10,3,2.782758e+02
21,10,5,2.782758e+02
21,10,10,1.905771e+02
21,10,20,1.312603e+02
21,10,30,1.312603e+02
21,10,40,1.246561e+02
21,10,50,1.180878e+02
21,10,60,1.176848e+02
21,10,70,1.117435e+02
21,10,80,1.072028e+02
21,10,90,1.043521e+02
21,10,100,1.026434e+02
21,10,1,2.778272e+02
21,10,2,2.778272e+02
21,10,3,2.778272e+02
21,10,5,2.618419e+02
21,10,10,2.618419e+02
21,10,20,1.662034e+02
21,10,30,1.228798e+02
21,10,40,1.132338e+02
21,10,50,1.132338e+02
21,10,60,1.132338e+02
21,10,70,1.047925e+02
21,10,80,1.047925e+02
21,10,90,1.035231e+02
21,10,100,1.027857e+02
21,10,1,2.195212e+02
21,10,2,2.195212e+02
21,10,3,2.195212e+02
21,10,5,1.325966e+02
21,10,10,1.325966e+02
21,10,20,1.293992e+02
21,10,30,1.237574e+02
21,10,40,1.162585e+02
21,10,50,1.162585e+02
21,10,60,1.107604e+02
21,10,70,1.083664e+02
21,10,80,1.042425e+02
21,10,90,1.036904e+02
21,10,100,1.005272e+02
21,10,1,2.750182e+02
21,10,2,2.674004e+02
21,10,3,2.674004e+02
21,10,5,2.674004e+02
21,10,10,2.674004e+02
21,10,20,1.803759e+02
21,10,30,1.334988e+02
21,10,40,1.243165e+02
21,10,50,1.181696e+02
21,10,60,1.072624e+02
21,10,70,1.072624e+02
21,10,80,1.055825e+02
21,10,90,1.034831e+02
21,10,100,1.000322e+02
21,10,1,2.589339e+02
21,10,2,2.589339e+02
21,10,3,2.589339e+02
21,10,5,2.589339e+02
21,10,10,2.589339e+02
21,10,20,2.589339e+02
21,10,30,2.589339e+02
21,10,40,2.582832e+02
21,10,50,2.532111e+02
21,10,60,2.426564e+02
21,10,70,2.381705e+02
21,10,80,2.381705e+02
21,10,90,2.381705e+02
21,10,100,2.142774e+02
21,10,1,3.086577e+02
21,10,2,2.963231e+02
21,10,3,2.963231e+02
21,10,5,2.963231e+02
21,10,10,2.892176e+02
21,10,20,2.764718e+02
21,10,30,2.487341e+02
21,10,40,2.487341e+02
21,10,50,2.487341e+02
21,10,60,2.487341e+02
21,10,70,2.464376e+02
21,10,80,2.464376e+02
21,10,90,2.412549e+02
21,10,100,2.059135e+02
21,10,1,2.904495e+02
21,10,2,2.884354e+02
21,10,3,2.853302e+02
21,10,5,2.853302e+02
21,10,10,2.698747e+02
21,10,20,2.698747e+02
21,10,30,2.698747e+02
21,10,40,2.698747e+02
21,10,50,2.500372e+02
21,10,60,2.372295e+02
21,10,70,2.306478e+02
21,10,80,2.306478e+02
21,10,90,2.306478e+02
21,10,100,2.176761e+02
21,10,1,3.059366e+02
21,10,2,2.619433e+02
21,10,3,2.619433e+02
21,10,5,2.619433e+02
21,10,10,2.117156e+02
21,10,20,1.226575e+02
21,10,30,1.187141e+02
21,10,40,1.187141e+02
21,10,50,1.159076e+02
21,10,60,1.152152e+02
21,10,70,1.107477e+02
21,10,80,1.061943e+02
21,10,90,1.037436e+02
21,10,100,1.023177e+02
21,10,1,2.411547e+02
21,10,2,2.411547e+02
21,10,3,2.411547e+02
21,10,5,2.411547e+02
21,10,10,1.613449e+02
21,10,20,1.348380e+02
21,10,30,1.309895e+02
21,10,40,1.171755e+02
21,10,50,1.171755e+02
21,10,60,1.103527e+02
21,10,70,1.085583e+02
21,10,80,1.073918e+02
21,10,90,1.051511e+02
21,10,100,1.021363e+02
21,10,1,2.931970e+02
21,10,2,2.845537e+02
21,10,3,2.845537e+02
21,10,5,2.845537e+02
21,10,10,2.845537e+02
21,10,20,2.845537e+02
21,10,30,2.595617e+02
21,10,40,2.595617e+02
21,10,50,2.519249e+02
21,10,60,2.460128e+02
21,10,70,2.436037e+02
21,10,80,2.334915e+02
21,10,90,2.312750e+02
21,10,100,2.102221e+02
