funcid,dim,milestone,error
22,10,1,8.867856e+02
22,10,2,8.719593e+02
22,10,3,5.395991e+02
22,10,5,4.248321e+02
22,10,10,2.886814e+02
22,10,20,2.886814e+02
22,10,30,2.886814e+02
22,10,40,2.886814e+02
22,10,50,1.902107e+02
22,10,60,1.902107e+02
22,10,70,1.902107e+02
22,10,80,1.902107e+02
22,10,90,1.483745e+02
22,10,100,1.075228e+02
22,10,1,1.795711e+03
22,10,2,5.417012e+02
22,10,3,3.250659e+02
22,10,5,3.250659e+02
22,10,10,3.250659e+02
22,10,20,3.250659e+02
22,10,30,3.250659e+02
22,10,40,3.250659e+02
22,10,50,3.250659e+02
22,10,60,2.883579e+02
22,10,70,1.864972e+02
22,10,80,1.847950e+02
22,10,90,1.284892e+02
22,10,100,1.055559e+02
22,10,1,9.669802e+02
22,10,2,5.473571e+02
22,10,3,5.473571e+02
22,10,5,4.021116e+02
22,10,10,2.410161e+02
22,10,20,2.410161e+02
22,10,30,2.386178e+02
22,10,40,2.114156e+02
22,10,50,2.114156e+02
22,10,60,2.114156e+02
22,10,70,2.114156e+02
22,10,80,1.638134e+02
22,10,90,1.314794e+02
22,10,100,1.081407e+02
22,10,1,6.152679e+02
22,10,2,5.444393e+02
22,10,3,5.444393e+02
22,10,5,5.444393e+02
22,10,10,3.393927e+02
22,10,20,2.149596e+02
22,10,30,1.578551e+02
22,10,40,1.578551e+02
22,10,50,1.578551e+02
22,10,60,1.539031e+02
22,10,70,1.539031e+02
22,10,80,1.539031e+02
22,10,90,1.245506e+02
22,10,100,1.062686e+02
22,10,1,1.929948e+03
22,10,2,1.929948e+03
22,10,3,1.929948e+03
22,10,5,1.157799e+03
22,10,10,6.500134e+02
22,10,20,4.229937e+02
22,10,30,2.908226e+02
22,10,40,2.908226e+02
22,10,50,2.638338e+02
22,10,60,1.506967e+02
22,10,70,1.506967e+02
22,10,80,1.506967e+02
22,10,90,1.483770e+02
22,10,100,1.046123e+02
22,10,1,7.876421e+02
22,10,2,7.876421e+02
22,10,3,6.454832e+02
22,10,5,6.454832e+02
22,10,10,5.088398e+02
22,10,20,4.871823e+02
22,10,30,4.356160e+02
22,10,40,4.356160e+02
22,10,50,1.900641e+02
22,10,60,1.514960e+02
22,10,70,1.300604e+02
22,10,80,1.256967e+02
22,10,90,1.199539e+02
22,10,100,1.037142e+02
22,10,1,6.429395e+02
22,10,2,6.429395e+02
22,10,3,6.429395e+02
22,10,5,3.843573e+02
22,10,10,3.021747e+02
22,10,20,2.660042e+02
22,10,30,2.384679e+02
22,10,40,2.384679e+02
22,10,50,1.954447e+02
22,10,60,1.465403e+02
22,10,70,1.465403e+02
22,10,80,1.465403e+02
22,10,90,1.423796e+02
22,10,100,1.063901e+02
22,10,1,1.169194e+03
22,10,2,1.165414e+03
22,10,3,1.165414e+03
22,10,5,1.165414e+03
22,10,10,4.032008e+02
22,10,20,3.976858e+02
22,10,30,3.976858e+02
22,10,40,3.976858e+02
22,10,50,3.269274e+02
22,10,60,1.392930e+02
22,10,70,1.372839e+02
22,10,80,1.308620e+02
22,10,90,1.183249e+02
22,10,100,1.021522e+02
22,10,1,1.416942e+03
22,10,2,1.010720e+03
22,10,3,7.502458e+02
22,10,5,6.831359e+02
22,10,10,2.852273e+02
22,10,20,2.169071e+02
22,10,30,2.169071e+02
22,10,40,2.169071e+02
22,10,50,2.169071e+02
22,10,60,1.882779e+02
22,10,70,1.856351e+02
22,10,80,1.645921e+02
22,10,90,1.385528e+02
22,10,100,1.033393e+02
22,10,1,7.359795e+02
22,10,2,6.193802e+02
22,10,3,6.193802e+02
22,10,5,6.193802e+02
22,10,10,5.525558e+02
22,10,20,2.386897e+02
22,10,30,1.780846e+02
22,10,40,1.780846e+02
22,10,50,1.532159e+02
22,10,60,1.532159e+02
22,10,70,1.126561e+02
22,10,80,7.504835e+01
22,10,90,5.758113e+01
22,10,100,2.249244e+01
