funcid,dim,milestone,error
14,10,1,2.634112e+06
14,10,2,2.634112e+06
14,10,3,2.634112e+06
14,10,5,2.634112e+06
14,10,10,2.634112e+06
14,10,20,2.634112e+06
14,10,30,2.634112e+06
14,10,40,2.634112e+06
14,10,50,2.634112e+06
14,10,60,2.634112e+06
14,10,70,2.634112e+06
14,10,80,2.634112e+06
14,10,90,2.634112e+06
14,10,100,2.634112e+06
14,10,1,7.287882e+06
14,10,2,7.287882e+06
14,10,3,7.287882e+06
14,10,5,7.287882e+06
14,10,10,7.287882e+06
14,10,20,7.287882e+06
14,10,30,7.287882e+06
14,10,40,7.287882e+06
14,10,50,7.287882e+06
14,10,60,7.287882e+06
14,10,70,7.287882e+06
14,10,80,7.287882e+06
14,10,90,7.287882e+06
14,10,100,7.287882e+06
14,10,1,6.226962e+06
14,10,2,6.226962e+06
14,10,3,6.226962e+06
14,10,5,6.226962e+06
14,10,10,6.226962e+06
14,10,20,6.226962e+06
14,10,30,6.226962e+06
14,10,40,6.226962e+06
14,10,50,6.226962e+06
14,10,60,6.226962e+06
14,10,70,6.226962e+06
14,10,80,6.226962e+06
14,10,90,6.226962e+06
14,10,100,6.226962e+06
14,10,1,1.977898e+07
14,10,2,1.977898e+07
14,10,3,1.977898e+07
14,10,5,1.977898e+07
14,10,10,1.977898e+07
14,10,20,1.977898e+07
14,10,30,1.977898e+07
14,10,40,1.977898e+07
14,10,50,1.977898e+07
14,10,60,1.977898e+07
14,10,70,1.977898e+07
14,10,80,1.977898e+07
14,10,90,1.977898e+07
14,10,100,1.977898e+07
14,10,1,1.349173e+05
14,10,2,1.349173e+05
14,10,3,1.349173e+05
14,10,5,1.349173e+05
14,10,10,1.349173e+05
14,10,20,1.349173e+05
14,10,30,1.349173e+05
14,10,40,1.349173e+05
14,10,50,1.349173e+05
14,10,60,1.349173e+05
14,10,70,1.349173e+05
14,10,80,1.349173e+05
14,10,90,1.349173e+05
14,10,100,1.349173e+05
14,10,1,1.233816e+05
14,10,2,1.233816e+05
14,10,3,1.233816e+05
14,10,5,1.233816e+05
14,10,10,1.233816e+05
14,10,20,1.233816e+05
14,10,30,1.233816e+05
14,10,40,1.233816e+05
14,10,50,1.233816e+05
14,10,60,1.233816e+05
14,10,70,1.233816e+05
14,10,80,1.233816e+05
14,10,90,1.233816e+05
14,10,100,1.233816e+05
14,10,1,1.445421e+03
14,10,2,1.445421e+03
14,10,3,1.445421e+03
14,10,5,1.445421e+03
14,10,10,1.445421e+03
14,10,20,1.445421e+03
14,10,30,1.445421e+03
14,10,40,1.445421e+03
14,10,50,1.445421e+03
14,10,60,1.445421e+03
14,10,70,1.445421e+03
14,10,80,1.445421e+03
14,10,90,1.445421e+03
14,10,100,1.445421e+03
14,10,1,1.334335e+04
14,10,2,1.334335e+04
14,10,3,1.334335e+04
14,10,5,1.334335e+04
14,10,10,1.334335e+04
14,10,20,1.334335e+04
14,10,30,1.334335e+04
14,10,40,1.334335e+04
14,10,50,1.334335e+04
14,10,60,1.334335e+04
14,10,70,1.334335e+04
14,10,80,1.334335e+04
14,10,90,1.334335e+04
14,10,100,1.334335e+04
14,10,1,3.221524e+05
14,10,2,3.221524e+05
14,10,3,3.221524e+05
14,10,5,3.221524e+05
14,10,10,3.221524e+05
14,10,20,3.221524e+05
14,10,30,3.221524e+05
14,10,40,3.221524e+05
14,10,50,3.221524e+05
14,10,60,3.221524e+05
14,10,70,3.221524e+05
14,10,80,3.221524e+05
14,10,90,3.221524e+05
14,10,100,3.221524e+05
14,10,1,1.462334e+07
14,10,2,1.462334e+07
14,10,3,1.462334e+07
14,10,5,1.462334e+07
14,10,10,1.462334e+07
14,10,20,1.462334e+07
14,10,30,1.462334e+07
14,10,40,1.462334e+07
14,10,50,1.462334e+07
14,10,60,1.462334e+07
14,10,70,1.462334e+07
14,10,80,1.462334e+07
14,10,90,1.462334e+07
14,10,100,1.462334e+07
