funcid,dim,milestone,error
15,10,1,3.975520e+05
15,10,2,3.975520e+05
15,10,3,3.975520e+05
15,10,5,2.243509e+04
15,10,10,1.471048e+04
15,10,20,1.616648e+03
15,10,30,1.616648e+03
15,10,40,1.616648e+03
15,10,50,1.616648e+03
15,10,60,1.616648e+03
15,10,70,1.023497e+03
15,10,80,6.969003e+02
15,10,90,2.825796e+02
15,10,100,2.825796e+02
15,10,1,4.017823e+05
15,10,2,1.598837e+04
15,10,3,5.417498e+03
15,10,5,5.417498e+03
15,10,10,1.371851e+03
15,10,20,1.371851e+03
15,10,30,1.371851e+03
15,10,40,1.371851e+03
15,10,50,1.371851e+03
15,10,60,1.371851e+03
15,10,70,1.371851e+03
15,10,80,1.081977e+03
15,10,90,1.840496e+02
15,10,100,1.377370e+02
15,10,1,5.218280e+04
15,10,2,5.218280e+04
15,10,3,5.218280e+04
15,10,5,5.218280e+04
15,10,10,5.218280e+04
15,10,20,9.905929e+03
15,10,30,1.122498e+03
15,10,40,1.122498e+03
15,10,50,1.122498e+03
15,10,60,1.122498e+03
15,10,70,7.885322e+02
15,10,80,5.998145e+02
15,10,90,5.998145e+02
15,10,100,5.998145e+02
15,10,1,9.132851e+03
15,10,2,9.132851e+03
15,10,3,9.132851e+03
15,10,5,9.132851e+03
15,10,10,9.132851e+03
15,10,20,6.573563e+03
15,10,30,6.327318e+03
15,10,40,6.327318e+03
15,10,50,6.326566e+03
15,10,60,6.326566e+03
15,10,70,6.326566e+03
15,10,80,6.326566e+03
15,10,90,2.099558e+02
15,10,100,2.099558e+02
15,10,1,1.075125e+05
15,10,2,6.149531e+04
15,10,3,6.149531e+04
15,10,5,6.149531e+04
15,10,10,6.149531e+04
15,10,20,5.414500e+03
15,10,30,5.414500e+03
15,10,40,5.414500e+03
15,10,50,5.414500e+03
15,10,60,3.484329e+03
15,10,70,3.484329e+03
15,10,80,3.484329e+03
15,10,90,3.484329e+03
15,10,100,2.383686e+03
15,10,1,1.006801e+05
15,10,2,1.006801e+05
15,10,3,1.006801e+05
15,10,5,5.819801e+03
15,10,10,5.819801e+03
15,10,20,3.002045e+03
15,10,30,3.002045e+03
15,10,40,3.002045e+03
15,10,50,2.585042e+03
15,10,60,2.585042e+03
15,10,70,1.248361e+03
15,10,80,1.029055e+03
15,10,90,9.585224e+01
15,10,100,4.139322e+01
15,10,1,2.118402e+05
15,10,2,3.444980e+04
15,10,3,9.526709e+03
15,10,5,9.526709e+03
15,10,10,2.932814e+03
15,10,20,2.891616e+03
15,10,30,1.873612e+03
15,10,40,5.543410e+02
15,10,50,5.543410e+02
15,10,60,1.990542e+02
15,10,70,1.990542e+02
15,10,80,1.990542e+02
15,10,90,9.876793e+01
15,10,100,9.876793e+01
15,10,1,1.530369e+05
15,10,2,3.314808e+04
15,10,3,2.107755e+04
15,10,5,2.107755e+04
15,10,10,2.107755e+04
15,10,20,2.107755e+04
15,10,30,2.107755e+04
15,10,40,2.107755e+04
15,10,50,1.211870e+04
15,10,60,1.917445e+03
15,10,70,1.917445e+03
15,10,80,1.917445e+03
15,10,90,1.789793e+03
15,10,100,3.987047e+02
15,10,1,1.853984e+05
15,10,2,1.853984e+05
15,10,3,1.853984e+05
15,10,5,1.853984e+05
15,10,10,1.853984e+05
15,10,20,2.665884e+04
15,10,30,7.454239e+03
15,10,40,3.163846e+03
15,10,50,3.163846e+03
15,10,60,3.163846e+03
15,10,70,3.291457e+02
15,10,80,2.900473e+02
15,10,90,2.900473e+02
15,10,100,2.900473e+02
15,10,1,1.302652e+05
15,10,2,1.120964e+04
15,10,3,1.120964e+04
15,10,5,1.011856e+04
15,10,10,1.011856e+04
15,10,20,4.916459e+02
15,10,30,4.916459e+02
15,10,40,4.916459e+02
15,10,50,4.916459e+02
15,10,60,4.916459e+02
15,10,70,4.916459e+02
15,10,80,4.916459e+02
15,10,90,4.916459e+02
15,10,100,4.916459e+02
