funcid,dim,milestone,error
29,10,1,6.465905e+02
29,10,2,5.108357e+02
29,10,3,4.764045e+02
29,10,5,3.848252e+02
29,10,10,3.678126e+02
29,10,20,2.987721e+02
29,10,30,2.987721e+02
29,10,40,2.987721e+02
29,10,50,2.987721e+02
29,10,60,2.987721e+02
29,10,70,2.738874e+02
29,10,80,2.738874e+02
29,10,90,2.665984e+02
29,10,100,2.498264e+02
29,10,1,7.217439e+02
29,10,2,4.778859e+02
29,10,3,4.778859e+02
29,10,5,4.778859e+02
29,10,10,3.383341e+02
29,10,20,3.383341e+02
29,10,30,3.383341e+02
29,10,40,3.254831e+02
29,10,50,2.816092e+02
29,10,60,2.816092e+02
29,10,70,2.816092e+02
29,10,80,2.816092e+02
29,10,90,2.816092e+02
29,10,100,2.608455e+02
29,10,1,7.043483e+02
29,10,2,4.514832e+02
29,10,3,4.514832e+02
29,10,5,4.191341e+02
29,10,10,4.191341e+02
29,10,20,3.540382e+02
29,10,30,3.143383e+02
29,10,40,3.020128e+02
29,10,50,2.705223e+02
29,10,60,2.705223e+02
29,10,70,2.591250e+02
29,10,80,2.591250e+02
29,10,90,2.480466e+02
29,10,100,2.415211e+02
29,10,1,6.357438e+02
29,10,2,6.357438e+02
29,10,3,5.077752e+02
29,10,5,3.389661e+02
29,10,10,3.389661e+02
29,10,20,3.389661e+02
29,10,30,3.275192e+02
29,10,40,2.643429e+02
29,10,50,2.643429e+02
29,10,60,2.643429e+02
29,10,70,2.643429e+02
29,10,80,2.643429e+02
29,10,90,2.643429e+02
29,10,100,2.416279e+02
29,10,1,4.253882e+02
29,10,2,4.253882e+02
29,10,3,4.253882e+02
29,10,5,4.158482e+02
29,10,10,4.158482e+02
29,10,20,4.158482e+02
29,10,30,4.158482e+02
29,10,40,3.760901e+02
29,10,50,3.385866e+02
29,10,60,3.355887e+02
29,10,70,2.817935e+02
29,10,80,2.817935e+02
29,10,90,2.749524e+02
29,10,100,2.447890e+02
29,10,1,6.169920e+02
29,10,2,4.049170e+02
29,10,3,4.049170e+02
29,10,5,4.049170e+02
29,10,10,3.995306e+02
29,10,20,3.588555e+02
29,10,30,3.424224e+02
29,10,40,3.424224e+02
29,10,50,3.213849e+02
29,10,60,3.213849e+02
29,10,70,3.213849e+02
29,10,80,3.130883e+02
29,10,90,3.130883e+02
29,10,100,2.695304e+02
29,10,1,3.942065e+02
29,10,2,3.942065e+02
29,10,3,3.942065e+02
29,10,5,3.164408e+02
29,10,10,3.164408e+02
29,10,20,3.164408e+02
29,10,30,2.764837e+02
29,10,40,2.764837e+02
29,10,50,2.764837e+02
29,10,60,2.764837e+02
29,10,70,2.764837e+02
29,10,80,2.764837e+02
29,10,90,2.764837e+02
29,10,100,2.404979e+02
29,10,1,5.511490e+02
29,10,2,4.673716e+02
29,10,3,4.673716e+02
29,10,5,4.673716e+02
29,10,10,3.251390e+02
29,10,20,3.251390e+02
29,10,30,3.251390e+02
29,10,40,3.251390e+02
29,10,50,3.121401e+02
29,10,60,3.085998e+02
29,10,70,3.085998e+02
29,10,80,3.085998e+02
29,10,90,2.707915e+02
29,10,100,2.311206e+02
29,10,1,4.671037e+02
29,10,2,4.671037e+02
29,10,3,4.671037e+02
29,10,5,4.671037e+02
29,10,10,4.288000e+02
29,10,20,3.543578e+02
29,10,30,3.218485e+02
29,10,40,3.218485e+02
29,10,50,3.047792e+02
29,10,60,2.765923e+02
29,10,70,2.765923e+02
29,10,80,2.765923e+02
29,10,90,2.582860e+02
29,10,100,2.408420e+02
29,10,1,7.226757e+02
29,10,2,6.064693e+02
29,10,3,6.064693e+02
29,10,5,3.895448e+02
29,10,10,3.895448e+02
29,10,20,3.895448e+02
29,10,30,3.895448e+02
29,10,40,3.728290e+02
29,10,50,3.728290e+02
29,10,60,3.728290e+02
29,10,70,3.529987e+02
29,10,80,3.023490e+02
29,10,90,2.867824e+02
29,10,100,2.469989e+02
