funcid,dim,milestone,error
5,10,1,1.149317e+02
5,10,2,9.490429e+01
5,10,3,9.206206e+01
5,10,5,9.206206e+01
5,10,10,8.351136e+01
5,10,20,6.623829e+01
5,10,30,5.087085e+01
5,10,40,5.087085e+01
5,10,50,4.774089e+01
5,10,60,4.774089e+01
5,10,70,4.533569e+01
5,10,80,4.533569e+01
5,10,90,3.697480e+01
5,10,100,5.051008e+00
5,10,1,8.445423e+01
5,10,2,8.445423e+01
5,10,3,8.445423e+01
5,10,5,7.716615e+01
5,10,10,6.620228e+01
5,10,20,6.620228e+01
5,10,30,6.620228e+01
5,10,40,6.151742e+01
5,10,50,4.890443e+01
5,10,60,4.353149e+01
5,10,70,3.915923e+01
5,10,80,3.915923e+01
5,10,90,3.795558e+01
5,10,100,4.015065e+00
5,10,1,8.440802e+01
5,10,2,8.440802e+01
5,10,3,8.147330e+01
5,10,5,7.751391e+01
5,10,10,6.054520e+01
5,10,20,4.093650e+01
5,10,30,3.935560e+01
5,10,40,3.935560e+01
5,10,50,3.935560e+01
5,10,60,3.935560e+01
5,10,70,3.657495e+01
5,10,80,3.657495e+01
5,10,90,3.657495e+01
5,10,100,1.980049e+01
5,10,1,9.667841e+01
5,10,2,9.557453e+01
5,10,3,8.819922e+01
5,10,5,8.245875e+01
5,10,10,8.108875e+01
5,10,20,7.338240e+01
5,10,30,5.108463e+01
5,10,40,5.108463e+01
5,10,50,5.108463e+01
5,10,60,5.108463e+01
5,10,70,4.260078e+01
5,10,80,3.284202e+01
5,10,90,3.284202e+01
5,10,100,8.320251e+00
5,10,1,9.751191e+01
5,10,2,8.509570e+01
5,10,3,8.391898e+01
5,10,5,8.391898e+01
5,10,10,7.284990e+01
5,10,20,5.816787e+01
5,10,30,5.816787e+01
5,10,40,4.812767e+01
5,10,50,4.812767e+01
5,10,60,4.701573e+01
5,10,70,3.844282e+01
5,10,80,2.612946e+01
5,10,90,2.612946e+01
5,10,100,4.006718e+00
5,10,1,9.820975e+01
5,10,2,8.929500e+01
5,10,3,8.929500e+01
5,10,5,8.733237e+01
5,10,10,6.469388e+01
5,10,20,6.469388e+01
5,10,30,6.469388e+01
5,10,40,4.770901e+01
5,10,50,4.770901e+01
5,10,60,4.770901e+01
5,10,70,3.726382e+01
5,10,80,3.726382e+01
5,10,90,3.707007e+01
5,10,100,3.999993e+00
5,10,1,9.703561e+01
5,10,2,9.525937e+01
5,10,3,9.525937e+01
5,10,5,9.525937e+01
5,10,10,6.736076e+01
5,10,20,6.736076e+01
5,10,30,6.736076e+01
5,10,40,5.205944e+01
5,10,50,5.035826e+01
5,10,60,4.573918e+01
5,10,70,3.930302e+01
5,10,80,3.313653e+01
5,10,90,2.442168e+01
5,10,100,4.020674e+00
5,10,1,1.102986e+02
5,10,2,1.048180e+02
5,10,3,8.935838e+01
5,10,5,8.935838e+01
5,10,10,6.220540e+01
5,10,20,6.220540e+01
5,10,30,6.220540e+01
5,10,40,4.882584e+01
5,10,50,3.886520e+01
5,10,60,3.886520e+01
5,10,70,3.827586e+01
5,10,80,3.297243e+01
5,10,90,3.297243e+01
5,10,100,1.794839e+01
5,10,1,1.019445e+02
5,10,2,9.336374e+01
5,10,3,9.336374e+01
5,10,5,9.336374e+01
5,10,10,8.117769e+01
5,10,20,7.558099e+01
5,10,30,6.241204e+01
5,10,40,6.237973e+01
5,10,50,5.385509e+01
5,10,60,4.395704e+01
5,10,70,4.395704e+01
5,10,80,3.709617e+01
5,10,90,1.866787e+01
5,10,100,5.996094e+00
5,10,1,1.006392e+02
5,10,2,9.224679e+01
5,10,3,8.201850e+01
5,10,5,7.457693e+01
5,10,10,7.457693e+01
5,10,20,6.297051e+01
5,10,30,6.297051e+01
5,10,40,6.297051e+01
5,10,50,5.985357e+01
5,10,60,4.690260e+01
5,10,70,4.054170e+01
5,10,80,4.054170e+01
5,10,90,3.298995e+01
5,10,100,1.893134e+01
