funcid,dim,milestone,error
20,10,1,4.650677e+02
20,10,2,4.254024e+02
20,10,3,4.254024e+02
20,10,5,2.350912e+02
20,10,10,2.147596e+02
20,10,20,1.647299e+02
20,10,30,1.647299e+02
20,10,40,1.647299e+02
20,10,50,1.204532e+02
20,10,60,1.204532e+02
20,10,70,1.204532e+02
20,10,80,1.036700e+02
20,10,90,7.256724e+01
20,10,100,5.242781e+01
20,10,1,4.377065e+02
20,10,2,3.437636e+02
20,10,3,3.302711e+02
20,10,5,2.852677e+02
20,10,10,2.569917e+02
20,10,20,1.675140e+02
20,10,30,1.513374e+02
20,10,40,1.416883e+02
20,10,50,1.124769e+02
20,10,60,1.124769e+02
20,10,70,1.124769e+02
20,10,80,9.810895e+01
20,10,90,9.417709e+01
20,10,100,2.426278e+01
20,10,1,2.635248e+02
20,10,2,2.635248e+02
20,10,3,2.635248e+02
20,10,5,2.635248e+02
20,10,10,2.445933e+02
20,10,20,2.445933e+02
20,10,30,1.413485e+02
20,10,40,1.050349e+02
20,10,50,1.050349e+02
20,10,60,1.050349e+02
20,10,70,8.253733e+01
20,10,80,8.253733e+01
20,10,90,5.874926e+01
20,10,100,3.579319e+01
20,10,1,3.701281e+02
20,10,2,1.675461e+02
20,10,3,1.675461e+02
20,10,5,1.675461e+02
20,10,10,1.675461e+02
20,10,20,1.675461e+02
20,10,30,1.675461e+02
20,10,40,1.356575e+02
20,10,50,1.291754e+02
20,10,60,1.061395e+02
20,10,70,1.061395e+02
20,10,80,1.061395e+02
20,10,90,1.061395e+02
20,10,100,5.660914e+01
20,10,1,2.892741e+02
20,10,2,2.892741e+02
20,10,3,2.892741e+02
20,10,5,2.892741e+02
20,10,10,2.892741e+02
20,10,20,2.892741e+02
20,10,30,1.269887e+02
20,10,40,1.193051e+02
20,10,50,1.193051e+02
20,10,60,1.023080e+02
20,10,70,8.071770e+01
20,10,80,8.071770e+01
20,10,90,5.428083e+01
20,10,100,2.850373e+01
20,10,1,2.940234e+02
20,10,2,2.571628e+02
20,10,3,2.571628e+02
20,10,5,2.571628e+02
20,10,10,1.740657e+02
20,10,20,1.740657e+02
20,10,30,1.441371e+02
20,10,40,1.348625e+02
20,10,50,1.269511e+02
20,10,60,1.032569e+02
20,10,70,1.032569e+02
20,10,80,1.032569e+02
20,10,90,3.432301e+01
20,10,100,2.438418e+01
20,10,1,3.563929e+02
20,10,2,3.563929e+02
20,10,3,3.563929e+02
20,10,5,2.677102e+02
20,10,10,2.677102e+02
20,10,20,1.808161e+02
20,10,30,1.808161e+02
20,10,40,9.968985e+01
20,10,50,9.968985e+01
20,10,60,9.420504e+01
20,10,70,9.420504e+01
20,10,80,8.336821e+01
20,10,90,5.240703e+01
20,10,100,2.498117e+01
20,10,1,4.253465e+02
20,10,2,3.645412e+02
20,10,3,3.645412e+02
20,10,5,3.645412e+02
20,10,10,2.288124e+02
20,10,20,2.025956e+02
20,10,30,2.025956e+02
20,10,40,1.363149e+02
20,10,50,1.240457e+02
20,10,60,8.306763e+01
20,10,70,8.306763e+01
20,10,80,8.295085e+01
20,10,90,7.311400e+01
20,10,100,2.315929e+01
20,10,1,3.457012e+02
20,10,2,3.339863e+02
20,10,3,3.339863e+02
20,10,5,3.339863e+02
20,10,10,3.339863e+02
20,10,20,2.500228e+02
20,10,30,1.660127e+02
20,10,40,1.449478e+02
20,10,50,1.449478e+02
20,10,60,1.104022e+02
20,10,70,1.097223e+02
20,10,80,9.446673e+01
20,10,90,6.427624e+01
20,10,100,2.982162e+01
20,10,1,3.832119e+02
20,10,2,3.488611e+02
20,10,3,1.986224e+02
20,10,5,1.986224e+02
20,10,10,1.986224e+02
20,10,20,1.986224e+02
20,10,30,1.422058e+02
20,10,40,1.422058e+02
20,10,50,1.422058e+02
20,10,60,1.422058e+02
20,10,70,1.186004e+02
20,10,80,1.117197e+02
20,10,90,5.501078e+01
20,10,100,3.338644e+01
