funcid,dim,milestone,error
8,10,1,1.037565e+02
8,10,2,1.037565e+02
8,10,3,1.037565e+02
8,10,5,1.037565e+02
8,10,10,9.843516e+01
8,10,20,7.995506e+01
8,10,30,5.742844e+01
8,10,40,5.742844e+01
8,10,50,5.742844e+01
8,10,60,5.472793e+01
8,10,70,4.056293e+01
8,10,80,3.586460e+01
8,10,90,3.192612e+01
8,10,100,6.984011e+00
8,10,1,1.027135e+02
8,10,2,1.027135e+02
8,10,3,1.027135e+02
8,10,5,9.726393e+01
8,10,10,7.337657e+01
8,10,20,7.312184e+01
8,10,30,7.312184e+01
8,10,40,7.090004e+01
8,10,50,6.219227e+01
8,10,60,5.972463e+01
8,10,70,4.949255e+01
8,10,80,3.048801e+01
8,10,90,3.044272e+01
8,10,100,4.988193e+00
8,10,1,1.307053e+02
8,10,2,9.107478e+01
8,10,3,7.366262e+01
8,10,5,7.366262e+01
8,10,10,7.366262e+01
8,10,20,7.366262e+01
8,10,30,7.268789e+01
8,10,40,7.059992e+01
8,10,50,5.656260e+01
8,10,60,5.656260e+01
8,10,70,5.620152e+01
8,10,80,4.243375e+01
8,10,90,3.581325e+01
8,10,100,7.001313e+00
8,10,1,1.091508e+02
8,10,2,1.091508e+02
8,10,3,8.293676e+01
8,10,5,8.293676e+01
8,10,10,8.293676e+01
8,10,20,6.817619e+01
8,10,30,6.817619e+01
8,10,40,6.817619e+01
8,10,50,4.728153e+01
8,10,60,4.728153e+01
8,10,70,4.728153e+01
8,10,80,3.642588e+01
8,10,90,3.642588e+01
8,10,100,6.980365e+00
8,10,1,1.154139e+02
8,10,2,1.003012e+02
8,10,3,9.907700e+01
8,10,5,9.054124e+01
8,10,10,9.054124e+01
8,10,20,9.054124e+01
8,10,30,7.246279e+01
8,10,40,7.246279e+01
8,10,50,7.246279e+01
8,10,60,5.878433e+01
8,10,70,4.315447e+01
8,10,80,4.315447e+01
8,10,90,2.827228e+01
8,10,100,8.990524e+00
8,10,1,8.802803e+01
8,10,2,8.802803e+01
8,10,3,8.802803e+01
8,10,5,8.802803e+01
8,10,10,7.644350e+01
8,10,20,7.644350e+01
8,10,30,7.644350e+01
8,10,40,5.769103e+01
8,10,50,5.769103e+01
8,10,60,5.462120e+01
8,10,70,3.886517e+01
8,10,80,3.886517e+01
8,10,90,1.559853e+01
8,10,100,4.987565e+00
8,10,1,1.125321e+02
8,10,2,1.125321e+02
8,10,3,1.125321e+02
8,10,5,1.125321e+02
8,10,10,8.893111e+01
8,10,20,6.277553e+01
8,10,30,4.939580e+01
8,10,40,4.939580e+01
8,10,50,4.939580e+01
8,10,60,4.939580e+01
8,10,70,3.800677e+01
8,10,80,3.625608e+01
8,10,90,3.026884e+01
8,10,100,7.976638e+00
8,10,1,1.163391e+02
8,10,2,1.025614e+02
8,10,3,8.645849e+01
8,10,5,8.645849e+01
8,10,10,8.645849e+01
8,10,20,7.036220e+01
8,10,30,6.622539e+01
8,10,40,6.622539e+01
8,10,50,6.075023e+01
8,10,60,4.807577e+01
8,10,70,4.807577e+01
8,10,80,4.807577e+01
8,10,90,4.382063e+01
8,10,100,9.976891e+00
8,10,1,9.875903e+01
8,10,2,9.470256e+01
8,10,3,9.470256e+01
8,10,5,9.470256e+01
8,10,10,8.851695e+01
8,10,20,8.851695e+01
8,10,30,8.851695e+01
8,10,40,5.795043e+01
8,10,50,5.795043e+01
8,10,60,5.795043e+01
8,10,70,4.631012e+01
8,10,80,4.042015e+01
8,10,90,3.789971e+01
8,10,100,7.004299e+00
8,10,1,1.168880e+02
8,10,2,1.168880e+02
8,10,3,1.168880e+02
8,10,5,7.015470e+01
8,10,10,7.015470e+01
8,10,20,7.015470e+01
8,10,30,7.015470e+01
8,10,40,7.015470e+01
8,10,50,4.564142e+01
8,10,60,4.564142e+01
8,10,70,4.564142e+01
8,10,80,3.960539e+01
8,10,90,3.960539e+01
8,10,100,2.689056e+01
