funcid,dim,milestone,error
10,10,1,3.007347e+03
10,10,2,3.007347e+03
10,10,3,3.004845e+03
10,10,5,3.004555e+03
10,10,10,3.004107e+03
10,10,20,3.004107e+03
10,10,30,3.004107e+03
10,10,40,3.004107e+03
10,10,50,3.004078e+03
10,10,60,3.004078e+03
10,10,70,3.004078e+03
10,10,80,3.004078e+03
10,10,90,3.004078e+03
10,10,100,3.004078e+03
10,10,1,3.170257e+03
10,10,2,3.170257e+03
10,10,3,3.170257e+03
10,10,5,3.170257e+03
10,10,10,3.170257e+03
10,10,20,3.170257e+03
10,10,30,3.170257e+03
10,10,40,3.170257e+03
10,10,50,3.170257e+03
10,10,60,3.170257e+03
10,10,70,3.170257e+03
10,10,80,3.170257e+03
10,10,90,3.170257e+03
10,10,100,3.170257e+03
10,10,1,3.170257e+03
10,10,2,3.170257e+03
10,10,3,3.170257e+03
10,10,5,3.170257e+03
10,10,10,3.170257e+03
10,10,20,3.170257e+03
10,10,30,3.170257e+03
10,10,40,3.170257e+03
10,10,50,3.170257e+03
10,10,60,3.170257e+03
10,10,70,3.170257e+03
10,10,80,3.170257e+03
10,10,90,3.170257e+03
10,10,100,3.170257e+03
