Caso,Fitness,Tiempo
MDG-a_1_n500_m50,7644.09,1.39021
MDG-a_2_n500_m50,7638.13,1.50073
MDG-a_3_n500_m50,7537.89,1.2058
MDG-a_4_n500_m50,7660.13,1.66188
MDG-a_5_n500_m50,7569.75,1.3691
MDG-a_6_n500_m50,7656.32,1.81599
MDG-a_7_n500_m50,7665.76,1.48321
MDG-a_8_n500_m50,7610.89,1.44201
MDG-a_9_n500_m50,7637.03,1.89148
MDG-a_10_n500_m50,7582.98,1.56913
MDG-b_21_n2000_m200,1.1087e+07,26.7251
MDG-b_22_n2000_m200,1.10581e+07,27.3707
MDG-b_23_n2000_m200,1.10735e+07,20.7778
MDG-b_24_n2000_m200,1.10829e+07,26.9987
MDG-b_25_n2000_m200,1.10533e+07,27.5935
MDG-b_26_n2000_m200,1.10902e+07,24.4421
MDG-b_27_n2000_m200,1.11213e+07,26.1138
MDG-b_28_n2000_m200,1.10472e+07,25.9475
MDG-b_29_n2000_m200,1.10788e+07,28.6723
MDG-b_30_n2000_m200,1.10988e+07,30.0896
MDG-c_1_n3000_m300,2.45589e+07,63.6325
MDG-c_2_n3000_m300,2.45053e+07,68.9938
MDG-c_8_n3000_m400,4.29086e+07,116.259
MDG-c_9_n3000_m400,4.27291e+07,100.856
MDG-c_10_n3000_m400,4.28426e+07,85.2201
MDG-c_13_n3000_m500,6.60877e+07,132.254
MDG-c_14_n3000_m500,6.63128e+07,163.775
MDG-c_15_n3000_m500,6.6278e+07,120.242
MDG-c_19_n3000_m600,9.4763e+07,189.885
MDG-c_20_n3000_m600,9.45967e+07,162.343
